DASYLab 2016 - 2016,,,,,,,,,,,,,,,,,,,,,,,
Worksheet name: CLT oneway,,,,,,,,,,,,,,,,,,,,,,,
"Recording date     : 10/2/2020, 11:28:46 AM",0.025849,0.089978,4E-06,3.420515,3.827184,0.998699,0.36403,1.378631,1.144828,1.412109,1.357921,0.346829,0.216133,0.090803,0.532762,0.510192,0.519088,-0.000597,0.654989,0.55679,,,
Block length       : 4,,,,,,,,,,,,,,,,,,,,,,,
Delta              : 0.1 sec.,,,,,,,,,,,,,,,,,,,,,,,
Number of channels : 16,,,,,,,,,,,,,,,,,,,,,,,
Time,Load (kips),Act. Disp. (in),S. CL Disp (in),W. Quarter (in),E. Quarter (in(),Compression Strain (in),Tension Strain,West Slip 1,West Slip 2,West Slip 3,West Slip 4,East Slip 5,East Slip 6,East Slip 7,East Slip 8,West Vertical Separation (in),East Vertical Separation,N. CL Disp (in),W Support,E Support,,Avg CL Disp(in),Avg Support Disp (in)
28:52.0,-0.00336,0.21149,0.00088,3.42244,3.82567,0.99742,0.36364,1.37866,1.14463,1.41237,1.35824,0.34687,0.21629,0.09089,0.53202,0.51022,0.5134,-0.00128,0.65506,0.55698,,,
28:52.0,0.13428,0.18182,0.00002,3.41904,3.82669,0.99846,0.36391,1.37839,1.14508,1.41178,1.35785,0.34628,0.21589,0.09089,0.53284,0.5101,0.5134,-0.00213,0.65454,0.55655,,,
28:52.0,0.03357,0.18896,0.00103,3.42007,3.82698,1.00048,0.36449,1.37879,1.14489,1.41191,1.35798,0.34667,0.21609,0.09057,0.53366,0.51044,0.51352,-0.00185,0.65463,0.55679,,,
28:52.0,-0.05707,0.24445,0.00088,3.42081,3.82742,0.99807,0.36358,1.37819,1.14469,1.41237,1.35804,0.34693,0.21661,0.0907,0.53234,0.50998,0.51346,0.001,0.65515,0.55682,,,
28:53.0,0.02686,0.24774,-0.00041,3.42288,3.82625,0.9997,0.36397,1.37859,1.1445,1.41204,1.35869,0.34674,0.21655,0.09076,0.53246,0.51004,0.51358,-0.00128,0.65494,0.55728,,,
28:53.0,0.13428,0.23621,-0.00099,3.42007,3.82785,0.9997,0.3641,1.37866,1.14456,1.4125,1.35798,0.34602,0.21629,0.09127,0.53259,0.51028,0.51416,-0.00213,0.65454,0.5575,,,
28:53.0,0.05035,0.22247,0.00175,3.42022,3.82567,1.00016,0.36443,1.37892,1.14547,1.41224,1.35798,0.34687,0.21563,0.09064,0.53347,0.50998,0.51343,0.00043,0.65485,0.55704,,,
28:53.0,-0.06378,0.27026,-0.00099,3.42273,3.82858,0.99729,0.36404,1.37912,1.14443,1.41198,1.3585,0.34661,0.21642,0.09102,0.53209,0.50983,0.5134,-0.00171,0.65485,0.55713,,,
28:53.0,0.01007,0.2417,-0.00013,3.4217,3.82684,0.99749,0.36417,1.37905,1.14437,1.41185,1.35902,0.34719,0.21661,0.09076,0.53209,0.51022,0.51315,-0.00171,0.65509,0.55676,,,
28:53.0,0.09064,0.22247,0.0016,3.42066,3.82625,1.00094,0.3641,1.37892,1.14521,1.41224,1.35791,0.34661,0.21589,0.09076,0.53297,0.5101,0.51358,0,0.65469,0.55652,,,
28:53.0,-0.01678,0.27356,0.00088,3.42125,3.82625,0.99768,0.3643,1.37866,1.14437,1.41263,1.35817,0.3468,0.21589,0.09064,0.5319,0.51013,0.51334,-0.00028,0.65518,0.55673,,,
28:53.0,0.12421,0.23511,-0.00013,3.41992,3.82742,0.99801,0.36319,1.37859,1.1445,1.41185,1.35778,0.34661,0.21629,0.09121,0.5324,0.51007,0.51328,-0.00185,0.65457,0.55673,,,
28:54.0,0.11414,0.22083,0.00088,3.42199,3.82684,1.00055,0.36404,1.37879,1.14456,1.41185,1.35739,0.34615,0.21589,0.09064,0.53297,0.51019,0.51349,-0.0027,0.65488,0.55673,,,
28:54.0,0.05371,0.24829,-0.0007,3.41859,3.82727,0.99964,0.36449,1.37879,1.14456,1.41211,1.35752,0.34615,0.21609,0.09064,0.53278,0.51016,0.5134,0.00029,0.65485,0.55655,,,
28:54.0,0.08057,0.26807,0.00031,3.42244,3.82713,0.9999,0.36417,1.37853,1.14411,1.41191,1.35856,0.34706,0.21609,0.09102,0.53202,0.50995,0.51376,-0.00242,0.65485,0.55753,,,
28:54.0,0.12756,0.25323,-0.00113,3.42229,3.82785,0.99892,0.36404,1.37991,1.14437,1.41178,1.35902,0.34615,0.21622,0.09102,0.53234,0.51035,0.51428,-0.00142,0.65475,0.55725,,,
28:54.0,0.02686,0.2851,0.00132,3.42155,3.82611,0.9999,0.36371,1.37859,1.14476,1.41256,1.35798,0.34687,0.21609,0.09076,0.5336,0.50992,0.51346,0,0.65482,0.55695,,,
28:54.0,0.0235,0.29388,-0.00128,3.42022,3.82756,0.99859,0.36482,1.37859,1.14502,1.41243,1.35746,0.34654,0.21602,0.09089,0.5324,0.51035,0.51334,-0.00185,0.65497,0.55658,,,
28:54.0,0.00671,0.29279,-0.00041,3.42111,3.82684,0.99814,0.3643,1.37853,1.14378,1.41178,1.35804,0.3468,0.21668,0.09083,0.53278,0.51031,0.51297,-0.00057,0.65518,0.55646,,,
28:54.0,0.08392,0.30762,-0.00099,3.42111,3.82742,0.99879,0.36391,1.37872,1.14437,1.41204,1.3583,0.3468,0.21648,0.09115,0.5319,0.5101,0.51416,-0.00313,0.65479,0.55768,,,
28:54.0,0.08728,0.3219,0.00117,3.42214,3.82567,1.00022,0.36351,1.37859,1.14476,1.41217,1.35843,0.34706,0.21556,0.09095,0.53297,0.50989,0.5134,0.00014,0.65488,0.55682,,,
28:54.0,0.14435,0.33948,-0.00085,3.42244,3.82727,1.00003,0.36345,1.37899,1.14469,1.41211,1.3583,0.34622,0.21655,0.09115,0.5324,0.51013,0.51343,-0.00299,0.65454,0.5571,,,
28:54.0,0.0235,0.33893,-0.00041,3.42229,3.82771,0.99716,0.3641,1.37945,1.14443,1.41224,1.35869,0.34641,0.21648,0.09019,0.53158,0.50998,0.51346,-0.00071,0.65509,0.55688,,,
28:54.0,0.02014,0.32684,-0.00157,3.42155,3.82698,0.99977,0.3643,1.37912,1.14476,1.41191,1.35752,0.34641,0.21635,0.0914,0.53183,0.51013,0.51437,-0.00284,0.65488,0.55765,,,
28:55.0,0.13092,0.33508,0.00002,3.42199,3.82684,0.99755,0.36404,1.37839,1.14456,1.41237,1.35817,0.3468,0.21668,0.09095,0.53171,0.51059,0.51309,-0.00156,0.65536,0.55658,,,
28:55.0,0.01007,0.31915,0.00002,3.42111,3.82742,0.9982,0.36391,1.37872,1.14443,1.41204,1.35837,0.34674,0.21655,0.09076,0.53209,0.51047,0.51306,-0.00156,0.655,0.55664,,,
